"variant_query_id"	"source_query_id"	"ratio"	"variant_index"	"query"	"changed_terms"	"actual_change_ratio"
"5a8a03245542992e4fca84d5::syn060::v1"	"5a8a03245542992e4fca84d5"	"0.60"	"1"	"What profession does Spice Girls discography and Emma Bunton have in common?"	""	"0.0000"
"5ae63b2255429908198fa526::syn060::v1"	"5ae63b2255429908198fa526"	"0.60"	"1"	"What is the date played of this college football game at Sun Life Stadium in Miami Gardens, Florida, where Clemson overcame the No. 4 Oklahoma Sooners, 37- 17?"	"defeated->overcame"	"1.0000"
"5a88e605554299206df2b39c::syn060::v1"	"5a88e605554299206df2b39c"	"0.60"	"1"	"What is the population of the town at the intersection of Interstate Highways 77 and  the longest Interstate highway within the borders of Virginia?"	""	"0.0000"
"5a81d19b55429926c1cdad90::syn060::v1"	"5a81d19b55429926c1cdad90"	"0.60"	"1"	"Tryon D. Lewis is a lawyer from Odessa, Texas which is situated in what county?"	"located->situated"	"1.0000"
"5ac41379554299204fd21ef1::syn060::v1"	"5ac41379554299204fd21ef1"	"0.60"	"1"	"Do Czes?aw Mi?osz and Nathalie Sarraute have the same nationality?"	""	"0.0000"
"5a803d695542996402f6a494::syn060::v1"	"5a803d695542996402f6a494"	"0.60"	"1"	"What is the main difference between the game Plateau and the game Colt Express?"	""	"0.0000"
"5a7fa22b5542992097ad2fa6::syn060::v1"	"5a7fa22b5542992097ad2fa6"	"0.60"	"1"	" A Swingin' Safari was a song composed originally by German songwriter Bert Kaempfert but made popular by who?"	"written->composed"	"1.0000"
"5a87defa5542993e715abfec::syn060::v1"	"5a87defa5542993e715abfec"	"0.60"	"1"	"Nicholas Scibetta's hit man brother-in-law, who confessed to being involved in the murder of 19 people, helped prosecutors convict what Gambino family boss?"	""	"0.0000"
"5a7ccb3655429909bec7680b::syn060::v1"	"5a7ccb3655429909bec7680b"	"0.60"	"1"	"Who bestowed Kaganoi Shigemochi with a blade made by the person that established the Muramasa school?"	"founded->established"	"1.0000"
"5ab27f7b554299722f9b4d4f::syn060::v1"	"5ab27f7b554299722f9b4d4f"	"0.60"	"1"	"Who was the head promotor of the singer of ""For The Good Times""?"	""	"0.0000"
"5a84fd085542994c784ddaba::syn060::v1"	"5a84fd085542994c784ddaba"	"0.60"	"1"	"Devil's Food is a singles compilation by an American rock and roll band that has also been known to play country shows under what?"	""	"0.0000"
"5a81ed345542995ce29dcc85::syn060::v1"	"5a81ed345542995ce29dcc85"	"0.60"	"1"	"The Florida Atlantic Owls team represents a school classified by the Carnegie Foundation as what?"	""	"0.0000"
