"variant_query_id"	"source_query_id"	"ratio"	"variant_index"	"query"	"changed_terms"	"actual_change_ratio"
"5abd552555429933744ab776::syn040::v1"	"5abd552555429933744ab776"	"0.40"	"1"	"Where will the 2017 Atlantic 10 Men' s Basketball Tournament be organized?"	"hosted->organized"	"1.0000"
"5a8ba59a554299240d9c2058::syn040::v1"	"5a8ba59a554299240d9c2058"	"0.40"	"1"	"The Duke Steps Out stars an female actor who was ranked tenth on a list of greatest female Hollywood stars in what year?"	"actress->female actor"	"1.0000"
"5ae7922f5542994a481bbdac::syn040::v1"	"5ae7922f5542994a481bbdac"	"0.40"	"1"	"Where was the university at which Barrie Ciliberti was a professor based?"	"located->based"	"0.5000"
"5ae6fee3554299572ea54670::syn040::v1"	"5ae6fee3554299572ea54670"	"0.40"	"1"	"The player who overcame Johnny Majors for the Heisman Trophy in 1956 was born in what year?"	"defeated->overcame"	"1.0000"
"5ade043d5542997dc7907122::syn040::v1"	"5ade043d5542997dc7907122"	"0.40"	"1"	"Which scholar at the University of Alabama in Huntsville co-developed a satellite temperature record with John Christy?"	"scientist->scholar"	"1.0000"
"5ae614215542992663a4f254::syn040::v1"	"5ae614215542992663a4f254"	"0.40"	"1"	"Name an American actress who appeared both in High School High and General Hospital."	"starred->appeared"	"0.5000"
"5abd72475542993062266c9a::syn040::v1"	"5abd72475542993062266c9a"	"0.40"	"1"	"Are After Midnight Project and Aaroh both rock bands?"	""	"0.0000"
"5a7c2f145542996dd594b8b4::syn040::v1"	"5a7c2f145542996dd594b8b4"	"0.40"	"1"	"The actress who made her film debut in Friday Night Lights also appeared in a 2014 French-American crime-thriller directed by whi?"	"starred->appeared"	"0.5000"
"5a7ec6f355429934daa2fc61::syn040::v1"	"5a7ec6f355429934daa2fc61"	"0.40"	"1"	"Which magazine is based out of more countries, Adventist World or Baseball Digest?"	""	"0.0000"
"5ae0ec48554299422ee9955a::syn040::v1"	"5ae0ec48554299422ee9955a"	"0.40"	"1"	"How was Ada Lovelace, the first computer programmer, related to Lord Byron in Childe Byron?"	""	"0.0000"
"5a7bbc59554299294a54aaa9::syn040::v1"	"5a7bbc59554299294a54aaa9"	"0.40"	"1"	"Steve Denton and Albert Costa are both tennis players, which one began playing at the age if five?"	""	"0.0000"
"5a80071f5542992bc0c4a684::syn040::v1"	"5a80071f5542992bc0c4a684"	"0.40"	"1"	"Alice David is the voice of Lara Croft in a video game developed by which company ?"	""	"0.0000"
"5a886c0c55429938390d3f51::syn040::v1"	"5a886c0c55429938390d3f51"	"0.40"	"1"	"Who owns the broadcasting platform where Games Done Quick is broadcast?"	""	"0.0000"
"5a7e0c045542995f4f4023c5::syn040::v1"	"5a7e0c045542995f4f4023c5"	"0.40"	"1"	"Who was born first Doug Liman or Saul Metzstein?"	""	"0.0000"
"5a77f2af5542995d83181333::syn040::v1"	"5a77f2af5542995d83181333"	"0.40"	"1"	"Who was born first, Grigory Margulis or Leonid Levin?"	""	"0.0000"
"5a72f74a55429901807daf59::syn040::v1"	"5a72f74a55429901807daf59"	"0.40"	"1"	"Which American comedian born on March 21, 1962, appeared in the movie ""Sleepless in Seattle?"""	""	"0.0000"
"5aba749055429901930fa7d8::syn040::v1"	"5aba749055429901930fa7d8"	"0.40"	"1"	"What occupation do Chris Menges and Aram Avakian share?"	""	"0.0000"
"5abfd3d65542994516f4550b::syn040::v1"	"5abfd3d65542994516f4550b"	"0.40"	"1"	"Are both Don Giovanni and Cardillac operas with three acts?"	""	"0.0000"
"5ae4d3a55542990ba0bbb164::syn040::v1"	"5ae4d3a55542990ba0bbb164"	"0.40"	"1"	"What creature of American folklore gained notoriety in 1964?"	""	"0.0000"
"5a738fe855429908901be2fb::syn040::v1"	"5a738fe855429908901be2fb"	"0.40"	"1"	"What film was authored and directed by Joby Harold with music written by Samuel Sim?"	"written->authored"	"0.5000"
"5ae13f3c5542997b2ef7d168::syn040::v1"	"5ae13f3c5542997b2ef7d168"	"0.40"	"1"	"Arthur Noss was a gunner for the commader during which two European theatre battles in WWII?"	""	"0.0000"
"5a7a5cc35542996c55b2dd7c::syn040::v1"	"5a7a5cc35542996c55b2dd7c"	"0.40"	"1"	"What position did Christian Albrecht Bluhme during the second military conflict as a result of the Schleswig-Holstein Question?"	""	"0.0000"
"5abae1055542996cc5e49ec9::syn040::v1"	"5abae1055542996cc5e49ec9"	"0.40"	"1"	"Which genus has more species, Mahonia or Diplazium?"	""	"0.0000"
"5a8b57f25542995d1e6f1371::syn040::v1"	"5a8b57f25542995d1e6f1371"	"0.40"	"1"	"Were Scott Derrickson and Ed Wood of the same nationality?"	""	"0.0000"
"5a7622d75542994ccc9186f1::syn040::v1"	"5a7622d75542994ccc9186f1"	"0.40"	"1"	"Who was born earlier, Garry Marshall or Leni Riefenstahl?"	""	"0.0000"
"5a8a03245542992e4fca84d5::syn040::v1"	"5a8a03245542992e4fca84d5"	"0.40"	"1"	"What profession does Spice Girls discography and Emma Bunton have in common?"	""	"0.0000"
"5ae63b2255429908198fa526::syn040::v1"	"5ae63b2255429908198fa526"	"0.40"	"1"	"What is the date played of this college football game at Sun Life Stadium in Miami Gardens, Florida, where Clemson beat the No. 4 Oklahoma Sooners, 37- 17?"	"defeated->beat"	"1.0000"
"5a88e605554299206df2b39c::syn040::v1"	"5a88e605554299206df2b39c"	"0.40"	"1"	"What is the population of the town at the intersection of Interstate Highways 77 and  the longest Interstate highway within the borders of Virginia?"	""	"0.0000"
"5a81d19b55429926c1cdad90::syn040::v1"	"5a81d19b55429926c1cdad90"	"0.40"	"1"	"Tryon D. Lewis is a lawyer from Odessa, Texas which is based in what county?"	"located->based"	"1.0000"
"5ac41379554299204fd21ef1::syn040::v1"	"5ac41379554299204fd21ef1"	"0.40"	"1"	"Do Czes?aw Mi?osz and Nathalie Sarraute have the same nationality?"	""	"0.0000"
"5a803d695542996402f6a494::syn040::v1"	"5a803d695542996402f6a494"	"0.40"	"1"	"What is the main difference between the game Plateau and the game Colt Express?"	""	"0.0000"
"5a7fa22b5542992097ad2fa6::syn040::v1"	"5a7fa22b5542992097ad2fa6"	"0.40"	"1"	" A Swingin' Safari was a song authored originally by German songwriter Bert Kaempfert but made popular by who?"	"written->authored"	"1.0000"
"5a87defa5542993e715abfec::syn040::v1"	"5a87defa5542993e715abfec"	"0.40"	"1"	"Nicholas Scibetta's hit man brother-in-law, who confessed to being involved in the murder of 19 people, helped prosecutors convict what Gambino family boss?"	""	"0.0000"
"5a7ccb3655429909bec7680b::syn040::v1"	"5a7ccb3655429909bec7680b"	"0.40"	"1"	"Who bestowed Kaganoi Shigemochi with a blade made by the person that established the Muramasa school?"	"founded->established"	"1.0000"
"5ab27f7b554299722f9b4d4f::syn040::v1"	"5ab27f7b554299722f9b4d4f"	"0.40"	"1"	"Who was the head promotor of the singer of ""For The Good Times""?"	""	"0.0000"
"5a84fd085542994c784ddaba::syn040::v1"	"5a84fd085542994c784ddaba"	"0.40"	"1"	"Devil's Food is a singles compilation by an American rock and roll band that has also been known to play country shows under what?"	""	"0.0000"
"5a81ed345542995ce29dcc85::syn040::v1"	"5a81ed345542995ce29dcc85"	"0.40"	"1"	"The Florida Atlantic Owls team represents a school classified by the Carnegie Foundation as what?"	""	"0.0000"
